"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U7,U6";"Pogo_2.54mm_5p";2;"~";;;
2;"U4";"CR2013-MI2120";1;"CR2013-MI2120";;;
3;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
4;"CH17,CH14,CH33,CH11,CH12,CH21,CH5,CH6,CH31,CH26,CH24,CH27,CH25,CH20,CH7,CH8,CH1,CH19,CH10,CH34,CH22,CH3,CH36,CH4,CH13,CH29,CH35,CH18,CH15,CH37,CH32,CH28";"SW_choc_v1_HS_CPG135001S30_1u";32;"choc_v1_SW_HS";;;
5;"LED36,LED13,LED21,LED32,LED23,LED2,LED20,LED1,LED38,LED29,LED33,LED30,LED18,LED19,LED17,LED8,LED39,LED15,LED24,LED16,LED3,LED4,LED5,LED26,LED27,LED31,LED25,LED9,LED12,LED22,LED34,LED6,LED10,LED11,LED7,LED35,LED28,LED14,LED37";"LED_choc_6028R";39;"choc_SK6812MINI-E";;;
6;"D2,D33,D28,D20,D1,D36,D30,D22,D39,D14,D24,D13,D12,D19,D16,D25,D11,D3,D37,D15,D18,D23,D34,D21,D6,D5,D35,D4,D31,D29,D38,D10,D26,D8,D17,D7,D32,D9,D27";"D_SOD-123";39;"D";;;
7;"C106,C104,C109,C100,C102,C105,C103";"C_0402_1005Metric";7;"100nF";;;
8;"C10,C28,C19,C43,C11,C20,C34,C33,C44,C36,C23,C27,C32,C22,C21,C6,C37,C14,C3,C39,C18,C9,C7,C15,C30,C38,C24,C29,C25,C4,C26,C35,C8,C12,C16,C5,C17,C31,C1,C13,C2";"C_0402_1005Metric";41;"0.1uF";;;
9;"Q1";"SOT-23-3";1;"AO3401A";;;
10;"CH16,CH38,CH23,CH30,CH2,CH39,CH9";"SW_choc_v1_HS_CPG135001S30_1.5u";7;"choc_v1_SW_HS";;;
11;"RST1,BOOT1";"SW_SPST_TL3342";2;"SW_SPST";;;
12;"R2,R3,R1,R4";"R_0402_1005Metric";4;"5.1k";;;
13;"C101";"C_0603_1608Metric";1;"10uF";;;
14;"C107,C108";"C_0402_1005Metric";2;"1uF";;;
15;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
16;"U5";"SOT-363_SC-70-6_Handsoldering";1;"TXB0101";;;
17;"U2";"SOT-143";1;"PRTR5V0U2X";;;
18;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072CBT6";;;
19;"J1,J3";"USB_C_Receptacle_HRO_TYPE-C-31-M-14";2;"USB_C_Receptacle_USB2.0";;;
20;"U3";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;;
21;"Q2";"SOT-23-3";1;"MMUN2233LT1G";;;
