"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"S4,S6,S7,S5";"STAB_MX_P_2u";4;"MX_stab";;;
2;"S1,S3";"STAB_MX_P_2.25u";2;"MX_stab";;;
3;"S2";"STAB_MX_P_2.75u";1;"MX_stab";;;
4;"U4";"CR2013-MI2120";1;"CR2013-MI2120";;;
5;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
6;"LED44,LED6,LED33,LED8,LED2,LED82,LED25,LED102,LED81,LED49,LED61,LED38,LED17,LED60,LED96,LED52,LED10,LED32,LED22,LED1,LED55,LED40,LED46,LED103,LED83,LED26,LED15,LED36,LED69,LED27,LED21,LED45,LED11,LED68,LED66,LED79,LED86,LED71,LED80,LED100,LED63,LED56,LED16,LED73,LED67,LED72,LED65,LED43,LED31,LED13,LED37,LED89,LED85,LED34,LED76,LED48,LED94,LED84,LED41,LED58,LED28,LED24,LED87,LED74,LED78,LED70,LED9,LED20,LED30,LED75,LED88,LED4,LED3,LED97,LED53,LED12,LED51,LED14,LED29,LED50,LED98,LED19,LED42,LED5,LED23,LED77,LED18,LED90,LED99,LED93,LED101,LED7,LED64,LED95,LED39,LED91,LED54,LED57,LED59,LED35,LED62,LED92,LED47";"LED_choc_6028R";103;"choc_SK6812MINI-E";;;
7;"C51,C20,C81,C50,C57,C45,C60,C100,C87,C112,C11,C99,C27,C32,C102,C18,C47,C86,C46,C91,C14,C24,C19,C101,C76,C16,C97,C65,C23,C72,C75,C77,C29,C43,C33,C89,C40,C36,C71,C66,C35,C52,C63,C53,C41,C59,C30,C62,C61,C15,C54,C88,C73,C64,C12,C80,C82,C1,C39,C70,C5,C13,C79,C9,C92,C56,C94,C83,C38,C25,C21,C48,C84,C95,C31,C2,C3,C37,C26,C69,C10,C44,C55,C93,C8,C49,C6,C7,C4,C17,C68,C74,C96,C98,C85,C42,C90,C34,C78,C22,C67,C103,C28,C58";"C_0402_1005Metric";104;"0.1uF";;;
8;"CH91,CH60,CH96,CH73,CH49,CH46,CH33,CH18,CH58,CH20,CH36,CH45,CH47,CH92,CH32,CH39,CH11,CH70,CH35,CH103,CH24,CH72,CH8,CH31,CH1,CH100,CH4,CH52,CH86,CH57,CH102,CH53,CH75,CH93,CH69,CH14,CH41,CH27,CH68,CH2,CH98,CH76,CH61,CH84,CH85,CH19,CH50,CH87,CH80,CH5,CH63,CH42,CH22,CH99,CH30,CH13,CH28,CH95,CH67,CH21,CH16,CH89,CH77,CH74,CH51,CH23,CH59,CH54,CH79,CH34,CH25,CH78,CH3,CH15,CH37,CH83,CH88,CH64,CH12,CH66,CH48,CH6,CH81,CH65,CH56,CH44,CH40,CH90,CH71,CH82,CH10,CH7,CH94,CH9,CH26,CH17,CH55,CH38,CH62,CH43,CH101,CH97,CH29";"KS-33_MX-Hotswap-1U";103;"KS33_SW_HS";;;
9;"D25,D27,D89,D71,D76,D78,D96,D17,D58,D72,D95,D10,D16,D47,D23,D13,D87,D69,D70,D52,D92,D3,D34,D81,D14,D66,D21,D33,D85,D56,D30,D83,D74,D104,D9,D43,D19,D59,D11,D84,D1,D53,D20,D105,D50,D80,D12,D77,D55,D60,D28,D93,D100,D15,D32,D37,D94,D26,D73,D18,D8,D68,D2,D46,D103,D64,D39,D42,D75,D29,D22,D79,D49,D99,D44,D98,D88,D51,D6,D57,D86,D45,D7,D5,D31,D54,D61,D62,D101,D35,D48,D36,D102,D63,D67,D97,D38,D90,D91,D24,D4,D82,D65";"D_SOD-123";103;"D";;;
10;"C120,C130,C121";"C_0805_2012Metric";3;"100n";;;
11;"C127,C128";"C_0402_1005Metric";2;"1uF";;;
12;"C107,C104,C108,C109,C105,C106,C110";"C_0402_1005Metric";7;"100nF";;;
13;"U6";"SOT95P280X145-5N";1;"SN74AHCT1G125DBVR";;;
14;"R7";"R_0805_2012Metric";1;"120";;;
15;"J1";"Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical";1;"78171-0004";;;
16;"D41,D40";"D_SOD-123";2;"1N4148";;;
17;"Q3";"SOT-23-3";1;"MMUN2133LT1G";;;
18;"RESET1";"SW_SPST_TL3342";1;"DFU";;;
19;"R8,R9";"R_0805_2012Metric";2;"68k";;;
20;"U5";"LQFP-64_10x10mm_P0.5mm";1;"STM32G474RETx";;;
21;"U3";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;;
