pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
32.1,-42.1,180.0,bottom,C1,,,C_0402_1005Metric,0.1uF,smt
217.8375,-42.1,180.0,bottom,C10,,,C_0402_1005Metric,0.1uF,smt
298.8,-161.1625,180.0,bottom,C100,,,C_0402_1005Metric,0.1uF,smt
332.1375,-161.1625,180.0,bottom,C101,,,C_0402_1005Metric,0.1uF,smt
360.7125,-161.1625,180.0,bottom,C102,,,C_0402_1005Metric,0.1uF,smt
379.7625,-151.6375,180.0,bottom,C103,,,C_0402_1005Metric,0.1uF,smt
340.41,-47.15,135.0,bottom,C104,,,C_0402_1005Metric,100nF,smt
333.76,-55.96,-135.0,bottom,C105,,,C_0402_1005Metric,100nF,smt
337.77,-47.35,135.0,bottom,C106,,,C_0402_1005Metric,100nF,smt
337.07,-48.05,135.0,bottom,C107,,,C_0402_1005Metric,100nF,smt
349.23,-53.76,45.0,bottom,C108,,,C_0402_1005Metric,100nF,smt
342.61,-62.6,-45.0,bottom,C109,,,C_0402_1005Metric,100nF,smt
236.8875,-42.1,180.0,bottom,C11,,,C_0402_1005Metric,0.1uF,smt
339.85,-63.3,-135.0,bottom,C110,,,C_0402_1005Metric,100nF,smt
324.94,-41.07,180.0,bottom,C112,,,C_0402_1005Metric,0.1uF,smt
255.9375,-42.1,180.0,bottom,C12,,,C_0402_1005Metric,0.1uF,smt
368.15,-45.82,90.0,bottom,C120,,,C_0805_2012Metric,100n,smt
366.09,-45.82,90.0,bottom,C121,,,C_0805_2012Metric,100n,smt
331.01,-40.16,90.0,bottom,C127,,,C_0402_1005Metric,1uF,smt
334.07,-42.88,180.0,bottom,C128,,,C_0402_1005Metric,1uF,smt
274.9875,-42.1,180.0,bottom,C13,,,C_0402_1005Metric,0.1uF,smt
359.89,-47.41,90.0,bottom,C130,,,C_0805_2012Metric,100n,smt
298.8,-42.1,180.0,bottom,C14,,,C_0402_1005Metric,0.1uF,smt
32.1,-65.9125,180.0,bottom,C15,,,C_0402_1005Metric,0.1uF,smt
51.15,-65.9125,180.0,bottom,C16,,,C_0402_1005Metric,0.1uF,smt
70.2,-65.9125,180.0,bottom,C17,,,C_0402_1005Metric,0.1uF,smt
89.25,-65.9125,180.0,bottom,C18,,,C_0402_1005Metric,0.1uF,smt
108.3,-65.9125,180.0,bottom,C19,,,C_0402_1005Metric,0.1uF,smt
55.9125,-42.1,180.0,bottom,C2,,,C_0402_1005Metric,0.1uF,smt
127.35,-65.9125,180.0,bottom,C20,,,C_0402_1005Metric,0.1uF,smt
146.4,-65.9125,180.0,bottom,C21,,,C_0402_1005Metric,0.1uF,smt
165.45,-65.9125,180.0,bottom,C22,,,C_0402_1005Metric,0.1uF,smt
184.5,-65.9125,180.0,bottom,C23,,,C_0402_1005Metric,0.1uF,smt
203.55,-65.9125,180.0,bottom,C24,,,C_0402_1005Metric,0.1uF,smt
222.6,-65.9125,180.0,bottom,C25,,,C_0402_1005Metric,0.1uF,smt
241.65,-65.9125,180.0,bottom,C26,,,C_0402_1005Metric,0.1uF,smt
260.7,-65.9125,180.0,bottom,C27,,,C_0402_1005Metric,0.1uF,smt
289.275,-65.9125,180.0,bottom,C28,,,C_0402_1005Metric,0.1uF,smt
36.8625,-84.9625,180.0,bottom,C29,,,C_0402_1005Metric,0.1uF,smt
74.9625,-42.1,180.0,bottom,C3,,,C_0402_1005Metric,0.1uF,smt
60.675,-84.9625,180.0,bottom,C30,,,C_0402_1005Metric,0.1uF,smt
79.725,-84.9625,180.0,bottom,C31,,,C_0402_1005Metric,0.1uF,smt
98.775,-84.9625,180.0,bottom,C32,,,C_0402_1005Metric,0.1uF,smt
117.825,-84.9625,180.0,bottom,C33,,,C_0402_1005Metric,0.1uF,smt
136.875,-84.9625,180.0,bottom,C34,,,C_0402_1005Metric,0.1uF,smt
